,cons_growth,exp_cons_growth,filtered_state
1955-12-31,0.018694408436781274,0.007613542862643605,0.38797425196044527
1956-03-31,0.008504106203510275,0.0075952290410792435,0.38614286980400914
1956-06-30,0.001702605487895248,0.0072225059261669085,0.34887055831277564
1956-09-30,0.0033963257308968764,0.006964314203387426,0.32305138603482736
1956-12-31,0.009132113708878009,0.007023312405504559,0.3289512062465407
1957-03-31,0.0019122225241172686,0.006701904014637785,0.2968103671598633
1957-06-30,0.004121617567963476,0.006517869548246107,0.2784069205206955
1957-09-30,0.005693621298906493,0.006428380320434553,0.2694579977395401
1957-12-31,0.0014837032608214784,0.006126157533670537,0.23923571906313842
1958-03-31,-0.009345140183390832,0.005282052597705883,0.15482522546667304
1958-06-30,0.009959056746039252,0.005499091687134582,0.17652913440954304
1958-09-30,0.014412707680783399,0.005932388676019073,0.2198588332979921
1958-12-31,0.007900950481396052,0.005997769609320524,0.2263969266281372
1959-03-31,0.009202228242547683,0.006126157763747539,0.2392357420708387
1959-06-30,0.010955389738387389,0.006336642787401741,0.26028424443625886
1959-09-30,0.0075960545975934934,0.006358394482530199,0.2624594139491047
1959-12-31,0.0077783181766291065,0.0063880925294714916,0.26542921864323393
1960-03-31,0.0014958260356801034,0.0060900140349950576,0.23562136919559057
1960-06-30,0.00779014225081287,0.00613870627052041,0.2404905927481258
1960-09-30,-0.0053664766262429,0.0055021108930385365,0.17683105499993845
1960-12-31,0.00326042612779176,0.005356332636519178,0.16225322934800254
1961-03-31,0.00485532762503027,0.005303210285813551,0.15694099427743988
1961-06-30,0.01362876449497552,0.005708344535301729,0.19745441922625764
1961-09-30,7.586573704276844e-05,0.0053834563713744095,0.1649656028335257
1961-12-31,0.0159944393786402,0.005905595563642679,0.21717952206035265
1962-03-31,0.007353923443880639,0.005944275235914391,0.22104748928752393
1962-06-30,0.008052390315208768,0.00601648372812528,0.2282683385086128
1962-09-30,0.004805088347377584,0.005915520826668548,0.21817204836293966
1962-12-31,0.003820234433547398,0.005770464332543541,0.20366639895043886
1963-03-31,0.0005299104101004204,0.0054649184365871805,0.17311180935480283
1963-06-30,0.004845110143855358,0.005403836795095265,0.16700364520561134
1963-09-30,0.009727949749486875,0.0055998542367881885,0.18660538937490362
1963-12-31,0.0050792713478431395,0.005541654706027832,0.18078543629886792
1964-03-31,0.011954729737825964,0.0058435525668098535,0.21097522237707014
1964-06-30,0.012650589080112518,0.006160796386728998,0.2426996043689846
1964-09-30,0.010858601345379526,0.006363482488108399,0.26296821450692476
1964-12-31,0.005527689983428452,0.006276176798052603,0.2542376455013451
1965-03-31,0.006906795538129451,0.00626628059046957,0.2532480247430418
1965-06-30,0.008266736668086416,0.006327495053429613,0.2593694710390461
1965-09-30,0.01061190604939899,0.006505971564993665,0.2772171221954513
1965-12-31,0.02049560451748267,0.007184095513940995,0.34502951709018437
1966-03-31,0.005212756337358293,0.00702424526993922,0.32904449269000685
1966-06-30,0.007538295636632775,0.006995788980711924,0.32619886376727725
1966-09-30,0.005597377715869101,0.006868763418472928,0.3134963075433776
1966-12-31,0.003949960818690812,0.00666512435293031,0.29313240098911575
1967-03-31,0.008227519754372192,0.006696972013183312,0.296317167014416
1967-06-30,0.006254512593539374,0.006624456875990524,0.2890656532951372
1967-09-30,0.003530583116161168,0.006415841806474303,0.26820414634351514
1967-12-31,0.0028651674336881428,0.006187061939694599,0.24532615966554466
1968-03-31,0.013135150470305224,0.006505829147253775,0.2772028804214623
1968-06-30,0.01144258597600567,0.006715095860052997,0.2981295517013845
1968-09-30,0.009894118077077074,0.006829828795850671,0.30960284528115195
1968-12-31,0.003308218159624232,0.006595625465268699,0.2861825122229547
1969-03-31,0.006192250182011971,0.006526831142254858,0.2793030799215706
1969-06-30,0.004836110829524731,0.006392518882795838,0.2658718539756686
1969-09-30,0.0023372773435013094,0.006138000335892817,0.24041999928536653
1969-12-31,0.0062478161085679496,0.006103443550663637,0.2369643207624485
1970-03-31,0.005075764304750319,0.0060105563132603285,0.22767559702211768
1970-06-30,-0.0004547248253814473,0.005637620110898723,0.1903819767859571
1970-09-30,0.00551818316782704,0.0055995666031126694,0.18657662600735178
1970-12-31,0.0023656846362758444,0.005400858582707254,0.1667058239668102
1971-03-31,0.00247961493427562,0.00522166776584349,0.14878674228043384
1971-06-30,0.002373779327458969,0.005049275403702564,0.13154750606634125
1971-09-30,0.0013323495288868337,0.004834762915522699,0.11009625724835463
1971-12-31,0.007841012524062663,0.004972021955953424,0.12382216129142719
1972-03-31,0.001237469789281409,0.004757889860842951,0.1024089517803799
1972-06-30,0.012253354741384115,0.00512892365522024,0.1395123312181088
1972-09-30,0.008471297762889574,0.00527866590926904,0.15448655662298885
1972-12-31,0.012992100922220917,0.00565227057912272,0.19184702360835684
1973-03-31,0.0033725028715796412,0.005502092418618257,0.1768292075579105
1973-06-30,-0.004430504731578022,0.004958102623196833,0.12243022801576817
1973-09-30,-0.0005918260709334433,0.004650188772015772,0.091638842897662
1973-12-31,-0.0058956679488679775,0.004088699546446373,0.03548992034072204
1974-03-31,-0.016272488243043615,0.003028291914849906,-0.0705508428189246
1974-06-30,-0.002969804941184595,0.0027294714903436644,-0.10043288526954876
1974-09-30,-0.0019037262701373514,0.002506338548026978,-0.12274617950121741
1974-12-31,-0.004561781660970432,0.0021608406842519657,-0.15729596587871864
1975-03-31,0.004217145966919134,0.0022936625895309494,-0.14401377535082027
1975-06-30,0.01310054091265167,0.0028774365292712546,-0.08563638137678975
1975-09-30,-0.00024085678252161458,0.0027302808136494806,-0.10035195293896716
1975-12-31,0.005930177412909909,0.0029127952313541495,-0.08210051116850023
1976-03-31,0.012367852398097678,0.003416197245160696,-0.031760309787845595
1976-06-30,0.0072098660134245485,0.0036179804023383716,-0.011581994070078042
1976-09-30,0.00705105146280971,0.003797711244037056,0.006391090099790402
1976-12-31,0.009206678622799558,0.004076761423174288,0.03429610801351358
1977-03-31,0.004303199288846482,0.004082747370099858,0.03489470270607063
1977-06-30,-0.001729174552085766,0.003775918120767356,0.0042117777728203735
1977-09-30,0.0059046701819083225,0.003885457069432693,0.015165672639354082
1977-12-31,0.009240975390010675,0.0041602704355754245,0.0426470092536272
1978-03-31,0.009239437977186071,0.004416172019854533,0.06823716768153812
1978-06-30,0.007822783001753209,0.0045811715871550045,0.08473712441158525
1978-09-30,0.0031312110781853697,0.004491896767643593,0.07580964246044412
1978-12-31,0.003205929685098141,0.004412609224311194,0.06788088812720422
1979-03-31,0.0015755176478684518,0.004254319137036369,0.05205187939972163
1979-06-30,-0.0016912926611536427,0.003937694416654792,0.020389407361563944
